"SQLInstance"|"configuration_id"|"name"|"value"|"minimum"|"maximum"|"value_in_use"|"description"|"is_dynamic"|"is_advanced"
"EC2AMAZ-2A4D56D"|"101"|"recovery interval (min)"|"0"|"0"|"32767"|"0"|"Maximum recovery interval in minutes"|"True"|"True"
"EC2AMAZ-2A4D56D"|"102"|"allow updates"|"0"|"0"|"1"|"0"|"Allow updates to system tables"|"True"|"False"
"EC2AMAZ-2A4D56D"|"103"|"user connections"|"0"|"0"|"32767"|"0"|"Number of user connections allowed"|"False"|"True"
"EC2AMAZ-2A4D56D"|"106"|"locks"|"0"|"5000"|"2147483647"|"0"|"Number of locks for all users"|"False"|"True"
"EC2AMAZ-2A4D56D"|"107"|"open objects"|"0"|"0"|"2147483647"|"0"|"Number of open database objects"|"False"|"True"
"EC2AMAZ-2A4D56D"|"109"|"fill factor (%)"|"0"|"0"|"100"|"0"|"Default fill factor percentage"|"False"|"True"
"EC2AMAZ-2A4D56D"|"114"|"disallow results from triggers"|"0"|"0"|"1"|"0"|"Disallow returning results from triggers"|"True"|"True"
"EC2AMAZ-2A4D56D"|"115"|"nested triggers"|"1"|"0"|"1"|"1"|"Allow triggers to be invoked within triggers"|"True"|"False"
"EC2AMAZ-2A4D56D"|"116"|"server trigger recursion"|"1"|"0"|"1"|"1"|"Allow recursion for server level triggers"|"True"|"False"
"EC2AMAZ-2A4D56D"|"117"|"remote access"|"1"|"0"|"1"|"1"|"Allow remote access"|"False"|"False"
"EC2AMAZ-2A4D56D"|"124"|"default language"|"0"|"0"|"9999"|"0"|"default language"|"True"|"False"
"EC2AMAZ-2A4D56D"|"400"|"cross db ownership chaining"|"0"|"0"|"1"|"0"|"Allow cross db ownership chaining"|"True"|"False"
"EC2AMAZ-2A4D56D"|"503"|"max worker threads"|"0"|"128"|"65535"|"0"|"Maximum worker threads"|"True"|"True"
"EC2AMAZ-2A4D56D"|"505"|"network packet size (B)"|"4096"|"512"|"32767"|"4096"|"Network packet size"|"True"|"True"
"EC2AMAZ-2A4D56D"|"518"|"show advanced options"|"1"|"0"|"1"|"1"|"show advanced options"|"True"|"False"
"EC2AMAZ-2A4D56D"|"542"|"remote proc trans"|"0"|"0"|"1"|"0"|"Create DTC transaction for remote procedures"|"True"|"False"
"EC2AMAZ-2A4D56D"|"544"|"c2 audit mode"|"0"|"0"|"1"|"0"|"c2 audit mode"|"False"|"True"
"EC2AMAZ-2A4D56D"|"1126"|"default full-text language"|"1033"|"0"|"2147483647"|"1033"|"default full-text language"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1127"|"two digit year cutoff"|"2049"|"1753"|"9999"|"2049"|"two digit year cutoff"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1505"|"index create memory (KB)"|"0"|"704"|"2147483647"|"0"|"Memory for index create sorts (kBytes)"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1517"|"priority boost"|"0"|"0"|"1"|"0"|"Priority boost"|"False"|"True"
"EC2AMAZ-2A4D56D"|"1519"|"remote login timeout (s)"|"20"|"0"|"2147483647"|"20"|"remote login timeout"|"True"|"False"
"EC2AMAZ-2A4D56D"|"1520"|"remote query timeout (s)"|"600"|"0"|"2147483647"|"600"|"remote query timeout"|"True"|"False"
"EC2AMAZ-2A4D56D"|"1531"|"cursor threshold"|"-1"|"-1"|"2147483647"|"-1"|"cursor threshold"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1532"|"set working set size"|"0"|"0"|"1"|"0"|"set working set size"|"False"|"True"
"EC2AMAZ-2A4D56D"|"1534"|"user options"|"0"|"0"|"32767"|"0"|"user options"|"True"|"False"
"EC2AMAZ-2A4D56D"|"1535"|"affinity mask"|"0"|"-2147483648"|"2147483647"|"0"|"affinity mask"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1536"|"max text repl size (B)"|"65536"|"-1"|"2147483647"|"65536"|"Maximum size of a text field in replication."|"True"|"False"
"EC2AMAZ-2A4D56D"|"1537"|"media retention"|"0"|"0"|"365"|"0"|"Tape retention period in days"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1538"|"cost threshold for parallelism"|"5"|"0"|"32767"|"5"|"cost threshold for parallelism"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1539"|"max degree of parallelism"|"0"|"0"|"32767"|"0"|"maximum degree of parallelism"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1540"|"min memory per query (KB)"|"1024"|"512"|"2147483647"|"1024"|"minimum memory per query (kBytes)"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1541"|"query wait (s)"|"-1"|"-1"|"2147483647"|"-1"|"maximum time to wait for query memory (s)"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1543"|"min server memory (MB)"|"0"|"0"|"2147483647"|"16"|"Minimum size of server memory (MB)"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1544"|"max server memory (MB)"|"725"|"128"|"2147483647"|"725"|"Maximum size of server memory (MB)"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1545"|"query governor cost limit"|"0"|"0"|"2147483647"|"0"|"Maximum estimated cost allowed by query governor"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1546"|"lightweight pooling"|"0"|"0"|"1"|"0"|"User mode scheduler uses lightweight pooling"|"False"|"True"
"EC2AMAZ-2A4D56D"|"1547"|"scan for startup procs"|"1"|"0"|"1"|"1"|"scan for startup stored procedures"|"False"|"True"
"EC2AMAZ-2A4D56D"|"1549"|"affinity64 mask"|"0"|"-2147483648"|"2147483647"|"0"|"affinity64 mask"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1550"|"affinity I/O mask"|"0"|"-2147483648"|"2147483647"|"0"|"affinity I/O mask"|"False"|"True"
"EC2AMAZ-2A4D56D"|"1551"|"affinity64 I/O mask"|"0"|"-2147483648"|"2147483647"|"0"|"affinity64 I/O mask"|"False"|"True"
"EC2AMAZ-2A4D56D"|"1555"|"transform noise words"|"0"|"0"|"1"|"0"|"Transform noise words for full-text query"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1556"|"precompute rank"|"0"|"0"|"1"|"0"|"Use precomputed rank for full-text query"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1557"|"PH timeout (s)"|"60"|"1"|"3600"|"60"|"DB connection timeout for full-text protocol handler (s)"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1562"|"clr enabled"|"0"|"0"|"1"|"0"|"CLR user code execution enabled in the server"|"True"|"False"
"EC2AMAZ-2A4D56D"|"1563"|"max full-text crawl range"|"4"|"0"|"256"|"4"|"Maximum  crawl ranges allowed in full-text indexing"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1564"|"ft notify bandwidth (min)"|"0"|"0"|"32767"|"0"|"Number of reserved full-text notifications buffers"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1565"|"ft notify bandwidth (max)"|"100"|"0"|"32767"|"100"|"Max number of full-text notifications buffers"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1566"|"ft crawl bandwidth (min)"|"0"|"0"|"32767"|"0"|"Number of reserved full-text crawl buffers"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1567"|"ft crawl bandwidth (max)"|"100"|"0"|"32767"|"100"|"Max number of full-text crawl buffers"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1568"|"default trace enabled"|"1"|"0"|"1"|"1"|"Enable or disable the default trace"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1569"|"blocked process threshold (s)"|"0"|"0"|"86400"|"0"|"Blocked process reporting threshold"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1570"|"in-doubt xact resolution"|"0"|"0"|"2"|"0"|"Recovery policy for DTC transactions with unknown outcome"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1573"|"user instance timeout"|"60"|"5"|"65535"|"60"|"The timeout of the user instance after no connection is made on the server"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1575"|"user instances enabled"|"1"|"0"|"1"|"1"|"Enable or disable creation of user instances"|"True"|"False"
"EC2AMAZ-2A4D56D"|"1576"|"remote admin connections"|"0"|"0"|"1"|"0"|"Dedicated Admin Connections are allowed from remote clients"|"True"|"False"
"EC2AMAZ-2A4D56D"|"1580"|"filestream access level"|"0"|"0"|"2"|"0"|"Sets the FILESTREAM access level"|"True"|"False"
"EC2AMAZ-2A4D56D"|"1581"|"optimize for ad hoc workloads"|"0"|"0"|"1"|"0"|"When this option is set, plan cache size is further reduced for single-use adhoc OLTP workload."|"True"|"True"
"EC2AMAZ-2A4D56D"|"1582"|"access check cache bucket count"|"0"|"0"|"65536"|"0"|"Default hash bucket count for the access check result security cache"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1583"|"access check cache quota"|"0"|"0"|"2147483647"|"0"|"Default quota for the access check result security cache"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1584"|"backup checksum default"|"0"|"0"|"1"|"0"|"Enable checksum of backups by default"|"True"|"False"
"EC2AMAZ-2A4D56D"|"1585"|"automatic soft-NUMA disabled"|"0"|"0"|"1"|"0"|"Automatic soft-NUMA is enabled by default"|"False"|"True"
"EC2AMAZ-2A4D56D"|"1586"|"external scripts enabled"|"0"|"0"|"1"|"0"|"Allows execution of external scripts"|"True"|"False"
"EC2AMAZ-2A4D56D"|"1587"|"clr strict security"|"1"|"0"|"1"|"1"|"CLR strict security enabled in the server"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1588"|"column encryption enclave type"|"0"|"0"|"2"|"0"|"Type of enclave used for computations on encrypted columns"|"False"|"False"
"EC2AMAZ-2A4D56D"|"1591"|"ADR cleaner retry timeout (min)"|"0"|"0"|"32767"|"0"|"ADR cleaner retry timeout."|"True"|"True"
"EC2AMAZ-2A4D56D"|"1592"|"ADR Preallocation Factor"|"0"|"0"|"32767"|"0"|"ADR Preallocation Factor."|"True"|"True"
"EC2AMAZ-2A4D56D"|"1593"|"version high part of SQL Server"|"0"|"-2147483648"|"2147483647"|"0"|"version high part of SQL Server that model database copied for"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1594"|"version low part of SQL Server"|"0"|"-2147483648"|"2147483647"|"0"|"version low part of SQL Server that model database copied for"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1609"|"max RPC request params (KB)"|"0"|"0"|"2147483647"|"0"|"Maximum memory for RPC request parameters (kBytes)"|"True"|"True"
"EC2AMAZ-2A4D56D"|"16384"|"Agent XPs"|"1"|"0"|"1"|"1"|"Enable or disable Agent XPs"|"True"|"True"
"EC2AMAZ-2A4D56D"|"16386"|"Database Mail XPs"|"0"|"0"|"1"|"0"|"Enable or disable Database Mail XPs"|"True"|"True"
"EC2AMAZ-2A4D56D"|"16387"|"SMO and DMO XPs"|"1"|"0"|"1"|"1"|"Enable or disable SMO and DMO XPs"|"True"|"True"
"EC2AMAZ-2A4D56D"|"16388"|"Ole Automation Procedures"|"0"|"0"|"1"|"0"|"Enable or disable Ole Automation Procedures"|"True"|"True"
"EC2AMAZ-2A4D56D"|"16390"|"xp_cmdshell"|"0"|"0"|"1"|"0"|"Enable or disable command shell"|"True"|"True"
"EC2AMAZ-2A4D56D"|"16391"|"Ad Hoc Distributed Queries"|"0"|"0"|"1"|"0"|"Enable or disable Ad Hoc Distributed Queries"|"True"|"True"
"EC2AMAZ-2A4D56D"|"16392"|"Replication XPs"|"0"|"0"|"1"|"0"|"Enable or disable Replication XPs"|"True"|"True"
"EC2AMAZ-2A4D56D"|"16393"|"contained database authentication"|"0"|"0"|"1"|"0"|"Enables contained databases and contained authentication"|"True"|"False"
"EC2AMAZ-2A4D56D"|"16394"|"hadoop connectivity"|"0"|"0"|"8"|"0"|"Configure SQL Server to connect to external Hadoop or Microsoft Azure storage blob data sources through PolyBase"|"False"|"False"
"EC2AMAZ-2A4D56D"|"16395"|"polybase network encryption"|"0"|"0"|"1"|"0"|"Configure SQL Server to encrypt control and data channels when using PolyBase"|"True"|"False"
"EC2AMAZ-2A4D56D"|"16396"|"remote data archive"|"0"|"0"|"1"|"0"|"Allow the use of the REMOTE_DATA_ARCHIVE data access for databases"|"True"|"False"
"EC2AMAZ-2A4D56D"|"16397"|"allow polybase export"|"0"|"0"|"1"|"0"|"Allow INSERT into a Hadoop external table"|"True"|"False"
"EC2AMAZ-2A4D56D"|"16398"|"allow filesystem enumeration"|"0"|"0"|"1"|"0"|"Allow enumeration of filesystem"|"True"|"True"
"EC2AMAZ-2A4D56D"|"16399"|"polybase enabled"|"0"|"0"|"1"|"0"|"Configure SQL Server to connect to external data sources through PolyBase"|"True"|"False"
